1766069052.2201598: X=643, Y=2154
1766069053.5859294: X=1514, Y=41
1766069055.6692948: X=1753, Y=587
1766069061.119717: X=1732, Y=738
1766069061.9254403: X=1244, Y=28
1766069063.786781: X=1450, Y=24
1766069064.260782: X=649, Y=0
1766069078.9838808: X=2441, Y=768
1766069079.8276346: X=821, Y=2131
1766069080.196361: X=965, Y=2018
1766069081.7109253: X=330, Y=1574
1766069082.275736: X=289, Y=1574
1766069089.8310282: X=2459, Y=1025
1766069101.7547808: X=554, Y=2135
1766069104.852806: X=2353, Y=878
1766069105.0107157: X=2353, Y=878
1766069105.9936655: X=2266, Y=847
1766069106.1405826: X=2266, Y=847
1766069113.8459914: X=2458, Y=1064
1766069114.0368829: X=2458, Y=1064
1766069116.177069: X=2642, Y=394
1766069116.4399197: X=2637, Y=379
1766069117.3593946: X=1988, Y=755
1766069119.0395188: X=1946, Y=760
1766069120.185427: X=1958, Y=760
1766069122.1451678: X=2319, Y=915
1766069122.313224: X=2319, Y=915
1766069123.2667916: X=2323, Y=860
1766069123.4271305: X=2323, Y=860
1766069130.3752851: X=2166, Y=1176
1766069137.082047: X=813, Y=2030
1766069141.7618566: X=719, Y=40
1766069148.687818: X=626, Y=2135
1766069159.404832: X=860, Y=2135
1766069159.7216618: X=1029, Y=2023
1766069165.234868: X=494, Y=308
1766069167.6368878: X=465, Y=248
1766069169.0143518: X=1197, Y=2112
1766069169.665589: X=1629, Y=812
1766069191.6661587: X=2077, Y=588
1766069193.7344558: X=2696, Y=932
1766069199.1883106: X=2701, Y=1061
1766069201.0027392: X=2527, Y=1115
1766069202.4399438: X=2512, Y=1113
1766069203.3146007: X=2528, Y=1102
1766069204.414512: X=2511, Y=1122
1766069208.0148692: X=2538, Y=1185
1766069219.0245707: X=2503, Y=1185
1766069223.312683: X=2495, Y=1247
1766069249.780973: X=2714, Y=1201
1766069250.579325: X=2723, Y=1247
1766069252.3770134: X=1615, Y=1585
1766069257.8137212: X=2720, Y=1220
1766069259.989247: X=1617, Y=1635
